,cc,dnssec,dnssec_algo,deploy360,ns,authoritative,ip,af,asn4,asn6,region,anycast_provider,anycast_provider_ratio,out_region,out_region_4,out_region_6,anycast,anycast_4,anycast_6
0,AO,False,,False,AO01.DNS.PT,True,185.39.208.17,4,199993,,ripencc,,,100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
1,AO,False,,False,AO01.DNS.PT,True,2a04:6d80:0:0:0:0:0:17,6,199993,199993,ripencc,,,100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
2,AO,False,,False,AO03.DNS.PT,True,2001:500:14:6113:ad:0:0:1,6,199993,42,arin,pch,pch,100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
3,AO,False,,False,AO03.DNS.PT,True,204.61.216.113,4,42,42,arin,pch,"pch,pch",100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
4,AO,False,,False,H.DNS.PT,True,194.146.106.138,4,8674,42,ripencc,dnsnode,"pch,pch,dnsnode",100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
5,AO,False,,False,H.DNS.PT,True,2001:67c:1010:35:0:0:0:53,6,8674,8674,ripencc,dnsnode,"pch,pch,dnsnode,dnsnode",100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666
6,BF,False,,False,CENSVRNS0001.IRD.FR,True,91.203.32.147,4,44850,,ripencc,,,50.0,66.66666666666666,0.0,50.0,33.33333333333333,100.0
7,BF,False,,False,NAHOURI.ONATEL.BF,True,206.82.130.196,4,25543,,arin,,,50.0,66.66666666666666,0.0,50.0,33.33333333333333,100.0
8,BF,False,,False,NS-BF.AFRINIC.NET,True,196.216.168.34,4,37177,,afrinic,afrinic,afrinic,50.0,66.66666666666666,0.0,50.0,33.33333333333333,100.0
9,BF,False,,False,NS-BF.AFRINIC.NET,True,2001:43f8:120:0:0:0:0:34,6,37177,37177,afrinic,afrinic,"afrinic,afrinic",50.0,66.66666666666666,0.0,50.0,33.33333333333333,100.0
10,BI,False,,False,ANYNS.NIC.BI,True,2001:500:14:6061:ad:0:0:1,6,,42,arin,pch,pch,50.0,40.0,66.66666666666666,75.0,60.0,100.0
11,BI,False,,False,ANYNS.NIC.BI,True,204.61.216.61,4,42,42,arin,pch,"pch,pch",50.0,40.0,66.66666666666666,75.0,60.0,100.0
12,BI,False,,False,BI.CCTLD.AUTHDNS.RIPE.NET,True,193.0.9.62,4,197000,42,ripencc,ripe,"pch,pch,ripe",50.0,40.0,66.66666666666666,75.0,60.0,100.0
13,BI,False,,False,BI.CCTLD.AUTHDNS.RIPE.NET,True,2001:67c:e0:0:0:0:0:62,6,197000,197000,ripencc,ripe,"pch,pch,ripe,ripe",50.0,40.0,66.66666666666666,75.0,60.0,100.0
14,BI,False,,False,NS-BI.AFRINIC.NET,True,196.216.168.23,4,37177,197000,afrinic,afrinic,"pch,pch,ripe,ripe,afrinic",50.0,40.0,66.66666666666666,75.0,60.0,100.0
15,BI,False,,False,NS-BI.AFRINIC.NET,True,2001:43f8:120:0:0:0:0:23,6,37177,37177,afrinic,afrinic,"pch,pch,ripe,ripe,afrinic,afrinic",50.0,40.0,66.66666666666666,75.0,60.0,100.0
16,BI,False,,False,NS.NIC.BI,True,196.2.8.205,4,25429,37177,afrinic,afrinic,"pch,pch,ripe,ripe,afrinic,afrinic",50.0,40.0,66.66666666666666,75.0,60.0,100.0
17,BI,False,,False,NS1.NIC.BI,True,196.2.12.205,4,25429,37177,afrinic,afrinic,"pch,pch,ripe,ripe,afrinic,afrinic",50.0,40.0,66.66666666666666,75.0,60.0,100.0
18,BJ,False,,False,NS.COCCA.FR,True,185.17.236.93,4,61025,,ripencc,,,66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
19,BJ,False,,False,NS.COCCA.FR,True,2a03:dd40:3:0:0:0:0:93,6,61025,61025,ripencc,,,66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
20,BJ,False,,False,NS1.NIC.BJ,True,154.65.31.84,4,328098,61025,afrinic,,,66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
21,BJ,False,,False,NS2.NIC.BJ,True,41.85.191.2,4,28683,61025,afrinic,,,66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
22,BJ,False,,False,PCH.NIC.BJ,True,2001:500:14:6125:ad:0:0:1,6,28683,42,arin,pch,pch,66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
23,BJ,False,,False,PCH.NIC.BJ,True,204.61.216.125,4,42,42,arin,pch,"pch,pch",66.66666666666666,50.0,100.0,33.33333333333333,25.0,50.0
24,BW,True,RSA/SHA-256,True,DNS1.NIC.NET.BW,True,168.167.98.226,4,14988,,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
25,BW,True,RSA/SHA-256,True,DNS1.NIC.NET.BW,True,2c0f:ff00:1:3:0:0:0:226,6,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
26,BW,True,RSA/SHA-256,True,DNS2.NIC.NET.BW,True,168.167.98.218,4,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
27,BW,True,RSA/SHA-256,True,DNS2.NIC.NET.BW,True,2c0f:ff00:1:5:0:0:0:218,6,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
28,BW,True,RSA/SHA-256,True,MASTER.BTC.NET.BW,True,168.167.168.37,4,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
29,BW,True,RSA/SHA-256,True,MASTER.BTC.NET.BW,True,2c0f:ff00:0:6:0:0:0:3,6,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
30,BW,True,RSA/SHA-256,True,MASTER.BTC.NET.BW,True,2c0f:ff00:0:6:0:0:0:5,6,14988,14988,afrinic,,,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
31,BW,True,RSA/SHA-256,True,NS-BW.AFRINIC.NET,True,196.216.168.72,4,37177,14988,afrinic,afrinic,afrinic,18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
32,BW,True,RSA/SHA-256,True,NS-BW.AFRINIC.NET,True,2001:43f8:120:0:0:0:0:72,6,37177,37177,afrinic,afrinic,"afrinic,afrinic",18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
33,BW,True,RSA/SHA-256,True,PCH.NIC.NET.BW,True,2001:500:14:6070:ad:0:0:1,6,37177,42,arin,pch,"afrinic,afrinic,pch",18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
34,BW,True,RSA/SHA-256,True,PCH.NIC.NET.BW,True,204.61.216.70,4,42,42,arin,pch,"afrinic,afrinic,pch,pch",18.181818181818183,20.0,16.666666666666664,36.36363636363637,40.0,33.33333333333333
35,CD,False,,False,IGUBU.SAIX.NET,True,196.25.1.1,4,5713,,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
36,CD,False,,False,IGUBU.SAIX.NET,True,2c0e:2001:4000:1:0:0:c419:101,6,5713,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
37,CD,False,,False,NS-ROOT-1.SCPT-NETWORK.COM,False,41.79.235.66,4,37677,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
38,CD,False,,False,NS-ROOT-2.SCPT-NETWORK.COM,False,41.79.235.67,4,37677,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
39,CD,False,,False,NS-ROOT-5.SCPT-NETWORK.COM,False,92.222.179.91,4,16276,5713,ripencc,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
40,CD,False,,False,SABELA.SAIX.NET,True,196.43.1.9,4,5713,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
41,CD,False,,False,SABELA.SAIX.NET,True,2c0e:2001:0:1:0:0:c42b:109,6,5713,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
42,CD,False,,False,SANGOMA.SAIX.NET,True,196.25.1.9,4,5713,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
43,CD,False,,False,SANGOMA.SAIX.NET,True,2c0e:2001:4000:1:0:0:c419:109,6,5713,5713,afrinic,,,11.11111111111111,16.666666666666664,0.0,0.0,0.0,0.0
44,CF,False,,False,A.NS.CF,True,185.21.168.17,4,61005,,ripencc,freenom,freenom,100.0,100.0,100.0,100.0,100.0,100.0
45,CF,False,,False,A.NS.CF,True,2a04:1b00:4:0:0:0:0:1,6,61005,61005,ripencc,freenom,"freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
46,CF,False,,False,B.NS.CF,True,185.21.169.17,4,61005,61005,ripencc,freenom,"freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
47,CF,False,,False,B.NS.CF,True,2a04:1b00:5:0:0:0:0:1,6,61005,61005,ripencc,freenom,"freenom,freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
48,CF,False,,False,C.NS.CF,True,185.21.170.17,4,61007,61005,ripencc,freenom,"freenom,freenom,freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
49,CF,False,,False,C.NS.CF,True,2a04:1b00:6:0:0:0:0:1,6,61007,61007,ripencc,freenom,"freenom,freenom,freenom,freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
50,CF,False,,False,D.NS.CF,True,185.21.171.17,4,61007,61007,ripencc,freenom,"freenom,freenom,freenom,freenom,freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
51,CF,False,,False,D.NS.CF,True,2a04:1b00:7:0:0:0:0:1,6,61007,61007,ripencc,freenom,"freenom,freenom,freenom,freenom,freenom,freenom,freenom,freenom",100.0,100.0,100.0,100.0,100.0,100.0
52,CG,False,,False,DNS-FR.DNSAFRICA.NET,True,151.80.35.161,4,16276,,ripencc,,,75.0,66.66666666666666,100.0,0.0,0.0,0.0
53,CG,False,,False,DNS-ZA.DNSAFRICA.NET,True,41.185.30.170,4,36943,,afrinic,,,75.0,66.66666666666666,100.0,0.0,0.0,0.0
54,CG,False,,False,SUNIC.SUNET.SE,True,192.36.125.2,4,1653,,ripencc,,,75.0,66.66666666666666,100.0,0.0,0.0,0.0
55,CG,False,,False,SUNIC.SUNET.SE,True,2001:6b0:7:0:0:0:0:2,6,1653,1653,ripencc,,,75.0,66.66666666666666,100.0,0.0,0.0,0.0
56,CI,False,,True,ANY.NIC.CI,True,2001:500:14:6120:ad:0:0:1,6,,42,arin,pch,pch,70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
57,CI,False,,True,ANY.NIC.CI,True,204.61.216.120,4,42,42,arin,pch,"pch,pch",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
58,CI,False,,True,CENSVRNS0001.IRD.FR,True,91.203.32.147,4,44850,42,ripencc,pch,"pch,pch",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
59,CI,False,,True,CI.HOSTING.NIC.FR,True,192.134.0.49,4,2486,42,ripencc,pch,"pch,pch",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
60,CI,False,,True,CI.HOSTING.NIC.FR,True,2001:660:3006:1:0:0:1:1,6,2486,2486,ripencc,pch,"pch,pch",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
61,CI,False,,True,NS-CI.AFRINIC.NET,True,196.216.168.30,4,37177,2486,afrinic,afrinic,"pch,pch,afrinic",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
62,CI,False,,True,NS-CI.AFRINIC.NET,True,2001:43f8:120:0:0:0:0:30,6,37177,37177,afrinic,afrinic,"pch,pch,afrinic,afrinic",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
63,CI,False,,True,NS.NIC.CI,True,213.136.100.81,4,29571,37177,afrinic,afrinic,"pch,pch,afrinic,afrinic",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
64,CI,False,,True,PHLOEM.UOREGON.EDU,True,128.223.32.35,4,3582,37177,arin,afrinic,"pch,pch,afrinic,afrinic",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
65,CI,False,,True,PHLOEM.UOREGON.EDU,True,2001:468:d01:20:0:0:80df:2023,6,3582,3582,arin,afrinic,"pch,pch,afrinic,afrinic",70.0,66.66666666666666,75.0,40.0,33.33333333333333,50.0
66,CM,False,,False,AUTH02.NS.UU.NET,True,198.6.1.82,4,701,,arin,,,50.0,40.0,100.0,0.0,0.0,0.0
67,CM,False,,False,KIM.CAMNET.CM,True,195.24.192.35,4,15964,,afrinic,,,50.0,40.0,100.0,0.0,0.0,0.0
68,CM,False,,False,LOM.CAMNET.CM,True,195.24.192.34,4,15964,,afrinic,,,50.0,40.0,100.0,0.0,0.0,0.0
69,CM,False,,False,NS.ITU.CH,True,156.106.192.121,4,8414,,ripencc,,,50.0,40.0,100.0,0.0,0.0,0.0
70,CM,False,,False,NS.ITU.CH,True,2a00:7580:60:2141:0:0:0:10,6,8414,8414,ripencc,,,50.0,40.0,100.0,0.0,0.0,0.0
71,CM,False,,False,SANAGA.CAMNET.CM,False,195.24.192.17,4,15964,8414,afrinic,,,50.0,40.0,100.0,0.0,0.0,0.0
72,CV,False,,False,C.DNS.PT,True,2001:500:14:6105:ad:0:0:1,6,,42,arin,pch,pch,85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
73,CV,False,,False,C.DNS.PT,True,204.61.216.105,4,42,42,arin,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
74,CV,False,,False,CV01.DNS.PT,True,185.39.208.18,4,199993,42,ripencc,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
75,CV,False,,False,CV01.DNS.PT,True,2a04:6d80:0:0:0:0:0:18,6,199993,199993,ripencc,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
76,CV,False,,False,NS-EXT.ISC.ORG,True,2001:4f8:0:2:0:0:0:13,6,199993,1280,arin,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
77,CV,False,,False,NS-EXT.ISC.ORG,True,204.152.184.64,4,1280,1280,arin,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
78,CV,False,,False,NS.DNS.CV,True,41.221.192.220,4,37517,1280,afrinic,pch,"pch,pch",85.71428571428571,75.0,100.0,28.57142857142857,25.0,33.33333333333333
79,DJ,False,,False,BOW1.INTNET.DJ,True,197.241.17.130,4,30990,,afrinic,,,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0
80,DJ,False,,False,BOW5.INTNET.DJ,True,196.201.196.41,4,30990,,afrinic,,,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0
81,DJ,False,,False,VPS443605.OVH.NET,True,37.59.106.21,4,16276,,ripencc,,,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0
82,DZ,True,RSA/SHA-256,True,NS-DZ.AFRINIC.NET,True,196.216.168.36,4,37177,,afrinic,afrinic,afrinic,54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
83,DZ,True,RSA/SHA-256,True,NS-DZ.AFRINIC.NET,True,2001:43f8:120:0:0:0:0:36,6,37177,37177,afrinic,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
84,DZ,True,RSA/SHA-256,True,NS1.NIC.DZ,True,193.194.64.242,4,3208,37177,afrinic,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
85,DZ,True,RSA/SHA-256,True,NS1.NIC.DZ,True,2001:4340:1030:2:0:0:0:2,6,3208,3208,afrinic,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
86,DZ,True,RSA/SHA-256,True,NS2.NIC.DZ,True,213.179.160.66,4,16214,3208,afrinic,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
87,DZ,True,RSA/SHA-256,True,NS3.NIC.FR,True,192.134.0.49,4,2486,3208,ripencc,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
88,DZ,True,RSA/SHA-256,True,NS3.NIC.FR,True,2001:660:3006:1:0:0:1:1,6,2486,2486,ripencc,afrinic,"afrinic,afrinic",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
89,DZ,True,RSA/SHA-256,True,NS4.NIC.DZ,True,2001:500:14:6103:ad:0:0:1,6,2486,42,arin,pch,"afrinic,afrinic,pch",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
90,DZ,True,RSA/SHA-256,True,NS4.NIC.DZ,True,204.61.216.103,4,42,42,arin,pch,"afrinic,afrinic,pch,pch",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
91,DZ,True,RSA/SHA-256,True,NS5.NIC.DZ,True,193.0.9.71,4,197000,42,ripencc,pch,"afrinic,afrinic,pch,pch",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
92,DZ,True,RSA/SHA-256,True,NS5.NIC.DZ,True,2001:67c:e0:0:0:0:0:71,6,197000,197000,ripencc,pch,"afrinic,afrinic,pch,pch",54.54545454545454,50.0,60.0,36.36363636363637,33.33333333333333,40.0
93,EG,False,,False,FRCU.EUN.EG,True,193.227.1.1,4,2561,,afrinic,,,80.0,66.66666666666666,100.0,0.0,0.0,0.0
94,EG,False,,False,NS5.UNIVIE.AC.AT,True,193.171.255.77,4,1120,,ripencc,,,80.0,66.66666666666666,100.0,0.0,0.0,0.0
95,EG,False,,False,NS5.UNIVIE.AC.AT,True,2001:628:453:4305:0:0:0:53,6,1120,1120,ripencc,,,80.0,66.66666666666666,100.0,0.0,0.0,0.0
