,cc,level,module,tag
0,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
1,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
2,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
3,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
4,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
5,AO,ERROR,Connectivity,ERROR_ASN_DATABASE
6,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
7,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
8,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
9,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
10,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
11,AO,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
12,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
13,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
14,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
15,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
16,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
17,BF,ERROR,Connectivity,ERROR_ASN_DATABASE
18,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
19,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
20,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
21,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
22,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
23,BF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
24,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
25,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
26,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
27,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
28,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
29,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
30,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
31,BI,ERROR,Connectivity,ERROR_ASN_DATABASE
32,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
33,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
34,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
35,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
36,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
37,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
38,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
39,BI,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
40,BI,ERROR,Nameserver,BREAKS_ON_EDNS
41,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
42,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
43,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
44,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
45,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
46,BW,ERROR,Connectivity,ERROR_ASN_DATABASE
47,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
48,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
49,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
50,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
51,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
52,BW,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
53,BW,ERROR,Nameserver,BREAKS_ON_EDNS
54,BW,ERROR,Nameserver,BREAKS_ON_EDNS
55,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
56,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
57,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
58,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
59,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
60,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
61,CD,ERROR,Connectivity,ERROR_ASN_DATABASE
62,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
63,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
64,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
65,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
66,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
67,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
68,CD,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
69,CD,ERROR,Delegation,NOT_ENOUGH_IPV6_NS_CHILD
70,CD,ERROR,Delegation,EXTRA_NAME_PARENT
71,CD,ERROR,Delegation,TOTAL_NAME_MISMATCH
72,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
73,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
74,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
75,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
76,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
77,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
78,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
79,CF,ERROR,Connectivity,ERROR_ASN_DATABASE
80,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
81,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
82,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
83,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
84,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
85,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
86,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
87,CF,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
88,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
89,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
90,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
91,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
92,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
93,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
94,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
95,CG,ERROR,Connectivity,ERROR_ASN_DATABASE
96,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
97,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
98,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
99,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
100,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
101,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
102,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
103,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE
104,CG,ERROR,Nameserver,CASE_QUERIES_RESULTS_DIFFER
