DNSSEC database status for TLDs as of 2020-07-13
TLD,Status,Is Principal,Is Test,Is IDN,Is Country,Is Regional,Map Region
AU, Operational, 1, 0, 0, 1, 0, AP
BG, Operational, 1, 0, 0, 1, 0, EUR
BR, Operational, 1, 0, 0, 1, 0, LAC
CA, Operational, 1, 0, 0, 1, 0, NA
CH, Operational, 1, 0, 0, 1, 0, EUR
CL, Operational, 1, 0, 0, 1, 0, LAC
CZ, Operational, 1, 0, 0, 1, 0, EUR
DE, Operational, 1, 0, 0, 1, 0, EUR
FR, Operational, 1, 0, 0, 1, 0, EUR
UK, Operational, 1, 0, 0, 1, 0, EUR
IN, Operational, 1, 0, 0, 1, 0, AP
IR, Experimental, 1, 0, 0, 1, 0, AP
JP, Operational, 1, 0, 0, 1, 0, AP
KR, Operational, 1, 0, 0, 1, 0, AP
LI, Operational, 1, 0, 0, 1, 0, EUR
LK, Operational, 1, 0, 0, 1, 0, AP
MX, Operational, 1, 0, 0, 1, 0, LAC
MY, Operational, 1, 0, 0, 1, 0, AP
NA, Operational, 1, 0, 0, 1, 0, AF
NL, Operational, 1, 0, 0, 1, 0, EUR
NZ, Operational, 1, 0, 0, 1, 0, AP
PR, Operational, 1, 0, 0, 1, 0, LAC
PT, Operational, 1, 0, 0, 1, 0, EUR
SE, Operational, 1, 0, 0, 1, 0, EUR
SG, DS in Root, 1, 0, 0, 1, 0, AP
TH, Operational, 1, 0, 0, 1, 0, AP
TM, Operational, 1, 0, 0, 1, 0, AP
TW, Operational, 1, 0, 0, 1, 0, AP
UM, Experimental, 1, 0, 0, 1, 0, AP
US, Operational, 1, 0, 0, 1, 0, NA
AERO, Experimental, 0, 0, 0, 0, 0, None
ARPA, DS in Root, 0, 0, 0, 0, 0, None
ASIA, DS in Root, 0, 0, 0, 0, 0, None
BIZ, Operational, 0, 0, 0, 0, 0, None
CAT, DS in Root, 0, 0, 0, 0, 0, None
COM, Operational, 0, 0, 0, 0, 0, None
EDU, Operational, 0, 0, 0, 0, 0, None
GOV, Operational, 0, 0, 0, 0, 0, None
INFO, DS in Root, 0, 0, 0, 0, 0, None
MIL, DS in Root, 0, 0, 0, 0, 0, None
MOBI, Experimental, 0, 0, 0, 0, 0, None
MUSEUM, Operational, 0, 0, 0, 0, 0, None
NAME, DS in Root, 0, 0, 0, 0, 0, None
NET, Operational, 0, 0, 0, 0, 0, None
ORG, Operational, 0, 0, 0, 0, 0, None
POST, DS in Root, 0, 0, 0, 0, 0, None
ROOT, Operational, 0, 0, 0, 0, 0, None
DK, Operational, 1, 0, 0, 1, 0, EUR
NU, DS in Root, 1, 0, 0, 1, 0, AP
PM, Operational, 1, 0, 0, 1, 0, NA
RE, Operational, 1, 0, 0, 1, 0, AF
