,cc,dnssec,dnssec_algo,deploy360,ns,authoritative,ip,af,asn4,asn6,region,anycast_provider,anycast_provider_ratio,out_region,out_region_4,out_region_6,anycast,anycast_4,anycast_6
0,TK,False,,False,A.NS.TK,True,194.0.38.1,4,57382,,ripencc,,,100.0,100.0,100.0,12.5,25.0,0.0
1,TK,False,,False,A.NS.TK,True,2001:678:50:0:0:0:0:1,6,57382,57382,ripencc,,,100.0,100.0,100.0,12.5,25.0,0.0
2,TK,False,,False,B.NS.TK,True,194.0.39.1,4,57382,57382,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
3,TK,False,,False,B.NS.TK,True,2001:678:54:0:0:0:0:1,6,57382,57382,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
4,TK,False,,False,C.NS.TK,True,194.0.40.1,4,198147,57382,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
5,TK,False,,False,C.NS.TK,True,2001:678:58:0:0:0:0:1,6,198147,198147,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
6,TK,False,,False,D.NS.TK,True,194.0.41.1,4,198147,198147,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
7,TK,False,,False,D.NS.TK,True,2001:678:5c:0:0:0:0:1,6,198147,198147,ripencc,other,other,100.0,100.0,100.0,12.5,25.0,0.0
8,CN,True,RSA/SHA-256,True,A.DNS.CN,True,2001:dc7:0:0:0:0:0:1,6,,244062440924151,apnic,,,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
9,CN,True,RSA/SHA-256,True,A.DNS.CN,True,203.119.25.1,4,24151,244062440924151,apnic,,,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
10,CN,True,RSA/SHA-256,True,B.DNS.CN,True,2001:dc7:1:0:0:0:0:1,6,24151,2440624409,apnic,,,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
11,CN,True,RSA/SHA-256,True,B.DNS.CN,True,203.119.26.1,4,2440624151,2440624409,apnic,,,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
12,CN,True,RSA/SHA-256,True,C.DNS.CN,True,2001:dc7:2:0:0:0:0:1,6,2440624151,244062415124409,apnic,,,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
13,CN,True,RSA/SHA-256,True,C.DNS.CN,True,203.119.27.1,4,244062415124409,244062415124409,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
14,CN,True,RSA/SHA-256,True,D.DNS.CN,True,2001:dc7:1000:0:0:0:0:1,6,244062415124409,244062440924151,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
15,CN,True,RSA/SHA-256,True,D.DNS.CN,True,203.119.28.1,4,241512440624409,244062440924151,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
16,CN,True,RSA/SHA-256,True,E.DNS.CN,True,2001:dc7:3:0:0:0:0:1,6,241512440624409,244062440924151,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
17,CN,True,RSA/SHA-256,True,E.DNS.CN,True,203.119.29.1,4,244092440624151,244062440924151,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
18,CN,True,RSA/SHA-256,True,NS.CERNET.NET,True,202.112.0.44,4,453824348,244062440924151,apnic,other,other,100.0,100.0,100.0,9.090909090909092,16.666666666666664,0.0
19,DE,True,RSA/SHA-256,True,A.NIC.DE,True,194.0.0.53,4,31529,,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
20,DE,True,RSA/SHA-256,True,A.NIC.DE,True,2001:678:2:0:0:0:0:53,6,31529,31529,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
21,DE,True,RSA/SHA-256,True,F.NIC.DE,True,2a02:568:0:2:0:0:0:53,6,31529,8763,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
22,DE,True,RSA/SHA-256,True,F.NIC.DE,True,81.91.164.5,4,8763,8763,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
23,DE,True,RSA/SHA-256,True,L.DE.NET,True,2001:668:1f:11:0:0:0:105,6,8763,3257,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
24,DE,True,RSA/SHA-256,True,L.DE.NET,True,77.67.63.105,4,3257,3257,ripencc,,,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
25,DE,True,RSA/SHA-256,True,N.DE.NET,True,194.146.107.6,4,8674,3257,ripencc,other,other,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
26,DE,True,RSA/SHA-256,True,N.DE.NET,True,2001:67c:1011:1:0:0:0:53,6,8674,8674,ripencc,other,other,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
27,DE,True,RSA/SHA-256,True,S.DE.NET,True,195.243.137.26,4,3320,8674,ripencc,other,other,100.0,100.0,100.0,16.666666666666664,33.33333333333333,0.0
